"Country or Area","Year(s)","Variant","Value"
"Burundi","2069","High","40960.308"
"Burundi","2069","Low","30607.3"
"Burundi","2069","Constant fertility","56663.152"
"Burundi","2069","Instant replacement","19897.645"
"Burundi","2069","Zero migration","35396.308"
"Burundi","2069","Constant mortality","31205.143"
"Burundi","2069","No change","49730.312"
"Burundi","2069","Momentum","18452.097"
"Burundi","2068","Medium","35028.302"
"Burundi","2068","High","40179.8"
"Burundi","2068","Low","30273.089"
"Burundi","2068","Constant fertility","54879.025"
"Burundi","2068","Instant replacement","19794.963"
"Burundi","2068","Zero migration","34861.49"
"Burundi","2068","Constant mortality","30859.889"
"Burundi","2068","No change","48356.209"
"Burundi","2068","Momentum","18399.486"
"Burundi","2067","Medium","34488.751"
"Burundi","2067","High","39405.615"
"Burundi","2067","Low","29933.954"
"Burundi","2067","Constant fertility","53152.213"
"Burundi","2067","Instant replacement","19690.901"
"Burundi","2067","Zero migration","34326.359"
"Burundi","2067","Constant mortality","30509.709"
"Burundi","2067","No change","47019.937"
"Burundi","2067","Momentum","18345.116"
"Burundi","2066","Medium","33948.728"
"Burundi","2066","High","38637.545"
"Burundi","2066","Low","29589.725"
"Burundi","2066","Constant fertility","51480.708"
"Burundi","2066","Instant replacement","19585.31"
"Burundi","2066","Zero migration","33790.738"
"Burundi","2066","Constant mortality","30154.481"
"Burundi","2066","No change","45720.278"
"Burundi","2066","Momentum","18288.922"
"Burundi","2065","Medium","33408.145"
"Burundi","2065","High","37875.457"
"Burundi","2065","Low","29240.27"
"Burundi","2065","Constant fertility","49862.6"
"Burundi","2065","Instant replacement","19477.992"
"Burundi","2065","Zero migration","33254.534"
"Burundi","2065","Constant mortality","29794.132"
"Burundi","2065","No change","44456.09"
"Burundi","2065","Momentum","18230.737"
"Burundi","2064","Medium","32867.119"
"Burundi","2064","High","37119.42"
"Burundi","2064","Low","28885.687"
"Burundi","2064","Constant fertility","48296.027"
"Burundi","2064","Instant replacement","19368.849"
"Burundi","2064","Zero migration","32717.86"
"Burundi","2064","Constant mortality","29428.779"
"Burundi","2064","No change","43226.261"
"Burundi","2064","Momentum","18170.481"
"Burundi","2063","Medium","32325.832"
"Burundi","2063","High","36369.592"
"Burundi","2063","Low","28526.11"
"Burundi","2063","Constant fertility","46779.227"
"Burundi","2063","Instant replacement","19257.622"
"Burundi","2063","Zero migration","32180.898"
"Burundi","2063","Constant mortality","29058.559"
"Burundi","2063","No change","42029.737"
"Burundi","2063","Momentum","18107.816"
"Burundi","2062","Medium","31784.291"
"Burundi","2062","High","35625.997"
"Burundi","2062","Low","28161.51"
"Burundi","2062","Constant fertility","45310.478"
"Burundi","2062","Instant replacement","19143.651"
"Burundi","2062","Zero migration","31643.651"
"Burundi","2062","Constant mortality","28683.425"
"Burundi","2062","No change","40865.398"
"Burundi","2062","Momentum","18042.074"
"Burundi","2061","Medium","31242.503"
"Burundi","2061","High","34888.686"
"Burundi","2061","Low","27791.806"
"Burundi","2061","Constant fertility","43888.149"
"Burundi","2061","Instant replacement","19026.146"
"Burundi","2061","Zero migration","31106.115"
"Burundi","2061","Constant mortality","28303.317"
"Burundi","2061","No change","39732.148"
"Burundi","2061","Momentum","17972.4"
"Burundi","2060","Medium","30700.526"
"Burundi","2060","High","34157.738"
"Burundi","2060","Low","27416.994"
"Burundi","2060","Constant fertility","42510.633"
"Burundi","2060","Instant replacement","18904.405"
"Burundi","2060","Zero migration","30568.366"
"Burundi","2060","Constant mortality","27918.209"
"Burundi","2060","No change","38628.924"
"Burundi","2060","Momentum","17898.026"
"Burundi","2059","Medium","30158.487"
"Burundi","2059","High","33433.226"
"Burundi","2059","Low","27037.191"
"Burundi","2059","Constant fertility","41176.415"
"Burundi","2059","Instant replacement","18778.143"
"Burundi","2059","Zero migration","30030.499"
"Burundi","2059","Constant mortality","27528.235"
"Burundi","2059","No change","37554.818"
"Burundi","2059","Momentum","17818.645"
"Burundi","2058","Medium","29616.612"
"Burundi","2058","High","32715.351"
"Burundi","2058","Low","26652.623"
"Burundi","2058","Constant fertility","39884.012"
"Burundi","2058","Instant replacement","18647.17"
"Burundi","2058","Zero migration","29492.763"
"Burundi","2058","Constant mortality","27133.611"
"Burundi","2058","No change","36508.93"
"Burundi","2058","Momentum","17734.006"
"Burundi","2057","Medium","29075.195"
"Burundi","2057","High","32004.414"
"Burundi","2057","Low","26263.521"
"Burundi","2057","Constant fertility","38631.965"
"Burundi","2057","Instant replacement","18510.98"
"Burundi","2057","Zero migration","28955.426"
"Burundi","2057","Constant mortality","26734.622"
"Burundi","2057","No change","35490.348"
"Burundi","2057","Momentum","17643.515"
"Burundi","2056","Medium","28534.594"
"Burundi","2056","High","31300.797"
"Burundi","2056","Low","25870.2"
"Burundi","2056","Constant fertility","37418.839"
"Burundi","2056","Instant replacement","18369.072"
"Burundi","2056","Zero migration","28418.866"
"Burundi","2056","Constant mortality","26331.639"
"Burundi","2056","No change","34498.205"
"Burundi","2056","Momentum","17546.53"
"Burundi","2055","Medium","27995.156"
"Burundi","2055","High","30604.832"
"Burundi","2055","Low","25472.969"
"Burundi","2055","Constant fertility","36243.309"
"Burundi","2055","Instant replacement","18221.031"
"Burundi","2055","Zero migration","27883.414"
"Burundi","2055","Constant mortality","25924.98"
"Burundi","2055","No change","33531.681"
"Burundi","2055","Momentum","17442.578"
"Burundi","2054","Medium","27457.144"
"Burundi","2054","High","29916.712"
"Burundi","2054","Low","25072.115"
"Burundi","2054","Constant fertility","35104.087"
"Burundi","2054","Instant replacement","18066.686"
"Burundi","2054","Zero migration","27349.334"
"Burundi","2054","Constant mortality","25514.958"
"Burundi","2054","No change","32590.019"
"Burundi","2054","Momentum","17331.407"
"Burundi","2053","Medium","26920.824"
"Burundi","2053","High","29236.612"
"Burundi","2053","Low","24667.961"
"Burundi","2053","Constant fertility","34000.061"
"Burundi","2053","Instant replacement","17906.038"
"Burundi","2053","Zero migration","26816.899"
"Burundi","2053","Constant mortality","25101.845"
"Burundi","2053","No change","31672.551"
"Burundi","2053","Momentum","17212.943"
"Burundi","2052","Medium","26386.463"
"Burundi","2052","High","28564.693"
"Burundi","2052","Low","24260.792"
"Burundi","2052","Constant fertility","32930.227"
"Burundi","2052","Instant replacement","17739.096"
"Burundi","2052","Zero migration","26286.361"
"Burundi","2052","Constant mortality","24685.939"
"Burundi","2052","No change","30778.747"
"Burundi","2052","Momentum","17087.142"
"Burundi","2051","Medium","25854.346"
"Burundi","2051","High","27901.126"
"Burundi","2051","Low","23850.952"
"Burundi","2051","Constant fertility","31893.726"
"Burundi","2051","Instant replacement","17565.985"
"Burundi","2051","Zero migration","25758.032"
"Burundi","2051","Constant mortality","24267.55"
"Burundi","2051","No change","29908.152"
"Burundi","2051","Momentum","16954.004"
"Burundi","2050","Medium","25324.761"
"Burundi","2050","High","27246.095"
"Burundi","2050","Low","23438.792"
"Burundi","2050","Constant fertility","30889.69"
"Burundi","2050","Instant replacement","17386.856"
"Burundi","2050","Zero migration","25232.185"
"Burundi","2050","Constant mortality","23847.02"
"Burundi","2050","No change","29060.306"
"Burundi","2050","Momentum","16813.604"
"Burundi","2049","Medium","24797.992"
"Burundi","2049","High","26599.708"
"Burundi","2049","Low","23024.678"
"Burundi","2049","Constant fertility","29917.105"
"Burundi","2049","Instant replacement","17201.992"
"Burundi","2049","Zero migration","24709.111"
"Burundi","2049","Constant mortality","23424.664"
"Burundi","2049","No change","28234.624"
"Burundi","2049","Momentum","16666.17"
"Burundi","2048","Medium","24274.387"
"Burundi","2048","High","25962.136"
"Burundi","2048","Low","22609.082"
"Burundi","2048","Constant fertility","28974.996"
"Burundi","2048","Instant replacement","17011.598"
"Burundi","2048","Zero migration","24189.141"
"Burundi","2048","Constant mortality","23000.887"
"Burundi","2048","No change","27430.563"
"Burundi","2048","Momentum","16511.894"
"Burundi","2047","Medium","23754.431"
"Burundi","2047","High","25333.68"
"Burundi","2047","Low","22192.618"
"Burundi","2047","Constant fertility","28062.666"
"Burundi","2047","Instant replacement","16815.909"
"Burundi","2047","Zero migration","23672.808"
"Burundi","2047","Constant mortality","22576.24"
"Burundi","2047","No change","26647.807"
"Burundi","2047","Momentum","16350.938"
"Burundi","2046","Medium","23238.701"
"Burundi","2046","High","24714.661"
"Burundi","2046","Low","21775.995"
"Burundi","2046","Constant fertility","27179.472"
"Burundi","2046","Instant replacement","16615.13"
"Burundi","2046","Zero migration","23160.649"
"Burundi","2046","Constant mortality","22151.359"
"Burundi","2046","No change","25886.103"
"Burundi","2046","Momentum","16183.452"
"Burundi","2045","Medium","22727.675"
"Burundi","2045","High","24105.318"
"Burundi","2045","Low","21359.861"
"Burundi","2045","Constant fertility","26324.728"
"Burundi","2045","Instant replacement","16409.633"
"Burundi","2045","Zero migration","22653.158"
"Burundi","2045","Constant mortality","21726.789"
"Burundi","2045","No change","25145.146"
"Burundi","2045","Momentum","16009.784"
"Burundi","2044","Medium","22221.664"
"Burundi","2044","High","23505.752"
"Burundi","2044","Low","20944.66"
"Burundi","2044","Constant fertility","25497.644"
"Burundi","2044","Instant replacement","16199.828"
"Burundi","2044","Zero migration","22150.648"
"Burundi","2044","Constant mortality","21302.91"
"Burundi","2044","No change","24424.49"
"Burundi","2044","Momentum","15830.317"
"Burundi","2043","Medium","21720.888"
"Burundi","2043","High","22915.946"
